Day,timestamp,4_churchill_2013_0,4_churchill_2030_45,4_churchill_2030_85,5_columbus_2013_0,5_columbus_2030_45,5_columbus_2030_85,6_cullinane_2013_0,6_cullinane_2030_45,6_cullinane_2030_85,8_dana_2013_0,8_dana_2030_45,8_dana_2030_85,10_dodge_2013_0,10_dodge_2030_45,10_dodge_2030_85,12_ell_2013_0,12_ell_2030_45,12_ell_2030_85,14_forsyth_2013_0,14_forsyth_2030_45,14_forsyth_2030_85,15_hayden_2013_0,15_hayden_2030_45,15_hayden_2030_85,16_holmes_2013_0,16_holmes_2030_45,16_holmes_2030_85,17_hurtig_2013_0,17_hurtig_2030_45,17_hurtig_2030_85,21_lake_2013_0,21_lake_2030_45,21_lake_2030_85,26_power_2013_0,26_power_2030_45,26_power_2030_85,27_richards_2013_0,27_richards_2030_45,27_richards_2030_85,40_westviilageE_2013_0,40_westvillageE_2030_45,40_westvillageE_2030_85
28,1359349200,3.481567667,3.295753593,3.256228994,6.61474183,6.550765274,6.470803092,19.3319869,16.70090655,17.05587595,10.37295375,9.5055151,9.4290971,5.19589028,4.86386354,4.82650954,5.476424247,5.5840526,5.5086606,5.345138497,5.977115,5.786431,3.637959479,3.765636,3.691916,6.066650993,5.4851928,5.3786028,12.70124485,12.468584,12.323348,11.57787706,12.2255108,12.0330408,72.56775463,58.56991278,62.95089478,16.12327198,15.49060428,15.42729628,15.34604451,14.86771714,14.75436314
29,1359435600,3.841529813,3.580703088,3.516910566,6.614968565,6.836410357,6.707351761,19.0335532,17.04421949,17.61403879,10.27860806,9.709202363,9.586531363,5.310073615,5.131155479,5.071192479,5.461856878,5.671288842,5.550264842,5.368919365,6.322482753,6.016384753,3.864522126,3.993553571,3.875213571,6.014627474,5.695989567,5.524884567,11.7926355,12.64811786,12.41497586,11.62989965,12.66403367,12.35506867,66.39433077,58.4169989,65.4496279,16.30590413,15.62311766,15.52149166,15.73343756,15.37506236,15.19309936
30,1359522000,3.503806037,3.565111627,3.510983883,7.621128681,6.785042213,6.675536421,17.69291074,17.42117166,17.90691926,10.55644998,9.801977105,9.697405105,5.321479457,5.075095217,5.023979217,6.154858852,5.715261158,5.612093158,6.612875456,6.272718298,6.011782298,4.264038483,3.987113344,3.886233344,6.725741463,5.617334181,5.471474181,12.27674594,12.87109126,12.67234726,13.60588576,12.80821895,12.54483895,51.8921559,60.41661553,66.41164353,17.01608964,15.69107047,15.60443847,15.20385909,15.29894116,15.14382516
31,1359608400,3.554756058,3.473023743,3.424865054,7.101422459,6.669850136,6.572420334,16.57377821,17.58187983,18.01157963,10.56558371,9.742172205,9.649666205,5.346687591,5.335422023,5.290204023,5.907223799,5.617470563,5.526206563,6.040003331,6.027500264,5.796672264,4.000394652,3.862469523,3.773229523,6.440693791,5.45032646,5.32129646,12.71216182,12.56513046,12.38931846,13.05459597,12.41091273,12.17792273,52.24553617,63.63431875,68.93761275,16.58719889,15.49887259,15.42223659,15.24974825,15.17909899,15.04188099
32,1359694800,3.561251526,3.213597695,3.190140192,6.685338458,6.457150304,6.40969345,17.86270006,17.34417127,17.55902117,10.3861998,9.445375812,9.399122812,5.126299394,4.70528219,4.68267319,5.230594109,5.290182949,5.244550949,5.284159866,5.722439086,5.607025086,3.687307035,3.537861877,3.493241877,5.665720232,5.100406453,5.035891453,11.63881584,12.2383578,12.1504518,11.76585047,11.96847148,11.85197648,66.35411089,64.23336788,66.88501488,15.94659966,15.15208426,15.11376626,15.02040127,14.61058205,14.54197305
33,1359781200,2.039328233,2.648224746,2.611087769,3.937234273,4.145015086,4.0698833,16.81608939,14.87405285,15.20099835,8.876999949,8.222320399,8.151935399,3.983246003,3.695414821,3.661009821,4.519257671,4.582573098,4.513133098,4.312386235,4.882981303,4.707351303,2.291504097,2.329915992,2.262015992,3.919173013,3.351980121,3.253805121,10.83317881,11.62081266,11.48704266,9.931466733,10.38500007,10.20772507,67.8293644,59.65633908,63.69145408,13.99487644,13.3292811,13.2709711,13.68088138,13.74246994,13.63806494
34,1359867600,1.984387593,2.560988916,2.5283186,3.852373127,3.97265623,3.906560942,16.13375693,14.282762,14.5816836,8.75157267,8.025525422,7.961173422,2.614818372,2.514483733,2.483027733,3.977132334,3.984579972,3.921091972,3.866114014,4.259183245,4.098607245,2.219912271,2.195020499,2.132940499,3.794167128,3.199014106,3.109254106,10.62501326,11.30287262,11.18056862,9.655555502,9.938470011,9.776390011,67.68815255,60.22717578,63.91642378,13.95963942,13.27284329,13.21953129,13.2744797,12.9169267,12.8214707
35,1359954000,3.462316906,3.223789336,3.211465757,6.642736274,6.405174448,6.380242626,19.62775059,17.35479755,17.45755185,10.36775076,9.3647451,9.3426241,5.257822257,4.79505354,4.78424054,5.618530471,5.4451726,5.4233486,5.456605256,5.625855,5.570657,3.702719381,3.629836,3.608496,5.95513433,5.2888428,5.2579878,11.92141038,12.201044,12.159002,11.92897091,11.8709608,11.8152458,74.92090854,66.64014278,67.90832178,15.88952049,15.37398428,15.35565828,15.11741665,14.65890714,14.62609414
36,1360040400,3.715042628,3.510104077,3.465825014,6.908691458,6.693581559,6.604000625,19.48000923,17.67008659,18.07176249,10.31246759,9.574465363,9.487992363,5.259373905,5.065294479,5.023025479,5.531901877,5.538360842,5.453048842,5.546297871,5.986276753,5.770502753,3.746119782,3.863573571,3.780153571,5.995706487,5.508054567,5.387439567,12.17909114,12.39204386,12.22769786,11.92345901,12.32467867,12.10688367,74.4593465,66.1413619,71.0987889,16.04209398,15.51149566,15.43985766,15.06742702,15.17520136,15.04693236
37,1360126800,3.470562861,3.539595865,3.474082759,6.874330764,6.733421297,6.600881789,18.86690678,17.65470416,18.24320606,10.44162232,9.751702105,9.625009105,5.383424978,5.050520217,4.988591217,5.479491677,5.665661158,5.540669158,5.620932174,6.147268298,5.831134298,3.734020545,3.938613344,3.816393344,5.982118612,5.547209181,5.370494181,12.0524135,12.77554126,12.53475526,12.38613552,12.68159395,12.36249895,64.40093824,63.29884053,70.56204753,16.18202569,15.64942047,15.54446247,14.20169408,15.22436616,15.03643716
38,1360213200,3.344468158,3.447678377,3.449606761,6.822789551,6.618573948,6.62247526,19.33969908,17.80607103,17.78738843,10.40125136,9.693908205,9.697930205,5.329850229,5.311830023,5.313796023,5.661702838,5.569854563,5.573822563,5.605670039,5.907068264,5.917104264,3.652938596,3.815909523,3.819789523,5.984147132,5.38300646,5.38861646,12.24819789,12.47340246,12.48104646,12.0813531,12.28935273,12.29948273,71.49292463,66.40125475,66.17067675,16.00237837,15.45888859,15.46222059,14.39332476,15.10750699,15.11347299
39,1360299600,2.175938096,3.179663955,3.192522619,5.161644473,6.388498984,6.414513336,18.22831866,17.65243417,17.53099727,9.260302348,9.379012812,9.405155812,2.898489026,4.67284319,4.68562219,3.946727777,5.224710949,5.250502949,4.104378593,5.556845086,5.622079086,2.474581801,3.473841877,3.499061877,4.729422978,5.007841453,5.044306453,11.72220081,12.1122318,12.1619178,9.94230304,11.80132648,11.86717148,66.28923216,68.03790488,66.53914788,14.96409092,15.09710626,15.11876426,13.73315322,14.51214305,14.55092205
40,1360386000,1.921095418,2.589742553,2.588059373,3.86049605,4.026699812,4.023294572,17.96643914,15.39716565,15.40650695,8.563629919,8.109704399,8.107693399,3.198211437,3.640366821,3.639383821,4.114070182,4.471469098,4.469485098,3.648892966,4.601973303,4.596955303,2.067213952,2.221275992,2.219335992,3.759257315,3.194900121,3.192095121,11.27236679,11.40678066,11.40295866,9.64549585,10.10136007,10.09629507,75.20793169,66.11252308,66.22781208,13.88743862,13.2359851,13.2343191,13.43816261,13.57542194,13.57243894
